SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
97.5625	-1.539544106	9.844134331	16.68980598	116.2314072	37.69181061	-0.082688808	-0.040499728	0.489784867	99.3516922	39.1852684	57.16788101	52.06837082	27.734375	68.78160858	729.4879761	4916.34301
97.4375	-1.272801042	9.884678841	13.85494137	119.092514	40.87374878	-0.28676343	-0.092170991	0.321418226	96.75831604	37.95017624	60.421875	51.88092041	24.48759842	65.1612854	729.4879761	4922.43801
97.28125	-1.457877398	9.174311638	14.72909737	115.3225479	40.77466965	-0.608211279	-0.206661329	0.339785427	88.31886292	38.49052811	60.09557724	51.47815704	26.96587753	65.32463074	729.4879761	4928.50801
97.5625	-0.967440367	12.14574909	12.93987656	123.2559204	48.22220993	-0.872932553	-0.30477494	0.349139154	73.46192932	40.18196869	68.32180023	52.59599304	27.14501953	60.79328156	729.4879761	4935.04801
97.34375	-1.355581999	9.375	13.99518585	139.407486	43.84365845	-1.027861595	-0.411513269	0.400358647	67.92353821	41.56009674	65.513237	52.73653793	27.44753265	63.94917679	729.4879761	4939.98801
96.375	-1.216756344	12.98701286	17.40181351	148.4375	43.76720428	-1.20220387	-0.567225397	0.471821308	64.5609436	42.74524307	83.61824799	59.78440475	29.74662971	59.22547531	729.4879761	4946.38801
95.40625	-1.735868931	8.921933174	17.05522728	140.9925385	42.11621094	-1.055669308	-0.55382216	0.524617076	64.51699066	42.8383255	66.62689972	58.32439804	29.17503166	62.40765381	729.4879761	4951.00801
94.34375	-1.967618942	9.764036179	21.1568985	157.25383	49.98595428	-1.033869267	-0.672862291	0.65081954	65.13236237	43.01314545	73.5265274	61.94527435	32.36174393	61.43569183	729.4879761	4957.73301
93.3125	-1.815288663	11.70731735	23.40371132	147.5606079	37.14402771	-1.09482336	-0.760431051	0.694569647	71.17623901	42.82924652	59.6550293	57.31768036	29.86392784	69.2591095	729.4879761	4963.87801
92.625	-1.758403063	12.46105957	24.12987328	144.5743561	41.96949005	-1.203397036	-0.822795034	0.683726966	72.20919037	42.71572495	63.87985229	59.91174316	31.13664627	73.56050873	729.4879761	4969.00301
92.4375	-1.702954769	12.75239086	23.91532898	146.1052399	41.99964523	-1.280202866	-0.858036876	0.670235097	73.90148163	42.83605576	63.91558838	55.60190964	29.41117477	65.82306671	729.4879761	4973.81801
